zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0308,3,2026-09,crop_farming,2.267189131549899,2.206808644862648
ET0309,3,2026-09,crop_farming,1.0216575134545567,1.00565732583914
ET0310,3,2026-09,crop_farming,2.0183814635765622,1.8782873216791973
ET0311,3,2026-09,crop_farming,1.2048257777085487,1.1492384692479158
ET0312,3,2026-09,crop_farming,1.0216575134545567,1.00565732583914
ET0401,3,2026-09,crop_farming,1.2342408295455314,1.1935826637365996
ET0402,3,2026-09,crop_farming,1.2084385586880269,1.1511546483843769
ET0403,3,2026-09,crop_farming,1.0216575134545565,1.0056573258391397
ET0404,3,2026-09,crop_farming,1.0216575134545567,1.0068628265856447
ET0405,3,2026-09,crop_farming,1.0216575134545567,1.00565732583914
ET0406,3,2026-09,crop_farming,1.0395953813101089,1.0195307846072066
ET0407,3,2026-09,crop_farming,1.3080115663349186,1.2203118414575647
ET0408,3,2026-09,crop_farming,1.4833012701248083,1.2997372086516927
ET0409,3,2026-09,crop_farming,2.1510922234298664,2.2452958329105996
ET0413,3,2026-09,crop_farming,1.0304565471339682,1.0143523174779525
ET0416,3,2026-09,crop_farming,1.0216575134545565,1.0056573258391397
ET0417,3,2026-09,crop_farming,1.318714263600695,1.2373290692886174
ET0418,3,2026-09,crop_farming,1.0230996789976745,1.0076594468685622
ET0419,3,2026-09,crop_farming,1.3229849091399721,1.2284976137432593
ET0420,3,2026-09,crop_farming,1.0216575134545565,1.0068628265856445
ET0602,3,2026-09,crop_farming,1.028017345815897,1.0099589497980896
ET0603,3,2026-09,crop_farming,1.041387314555782,1.053703089408207
ET0604,3,2026-09,crop_farming,1.066422481903757,1.0754693865196427
ET0605,3,2026-09,crop_farming,1.099330139435688,1.1566362247817874
ET0701,3,2026-09,crop_farming,1.349084793603378,1.2434256716243104
ET0702,3,2026-09,crop_farming,1.3879822855185655,1.2695110273544494
ET0703,3,2026-09,crop_farming,2.191656588135646,2.1439244049200767
ET0705,3,2026-09,crop_farming,2.101769493454405,1.9884646467080427
ET0706,3,2026-09,crop_farming,2.1900217724151347,2.222754184946608
ET0710,3,2026-09,crop_farming,2.198780760094791,2.3254920749301786
ET0713,3,2026-09,crop_farming,2.579457776035852,2.4981202492304804
ET0714,3,2026-09,crop_farming,1.1931854077793695,1.1463022050994716
ET0715,3,2026-09,crop_farming,1.9375005626020216,1.8922319426022691
ET0716,3,2026-09,crop_farming,1.0584102942061369,1.043884110864141
ET0720,3,2026-09,crop_farming,1.6175063451079537,1.4732198956586817
ET0721,3,2026-09,crop_farming,2.5765560756046804,2.5149567622718454
ET0722,3,2026-09,crop_farming,2.5788336132714016,2.4919754864911323
ET0723,3,2026-09,crop_farming,2.5346906781196594,2.4936492216306934
ET0724,3,2026-09,crop_farming,1.0216575134545565,1.0058810286445896
ET1101,3,2026-09,crop_farming,1.0216575134545565,1.0056573258391397
ET1102,3,2026-09,crop_farming,1.039357246109266,1.0203899076410683
ET1103,3,2026-09,crop_farming,1.0216575134545565,1.0056573258391397
ET1104,3,2026-09,crop_farming,1.096860978065188,1.0665896936068835
ET1105,3,2026-09,crop_farming,1.0243365986723774,1.0088625104670998
ET1106,3,2026-09,crop_farming,1.029331574920855,1.0132273452648393
ET1202,3,2026-09,crop_farming,1.0216575134545562,1.0056573258391395
ET1203,3,2026-09,crop_farming,1.0216575134545562,1.0056573258391395
ET1204,3,2026-09,crop_farming,1.0216575134545567,1.00565732583914
ET1301,3,2026-09,crop_farming,1.223578050604089,1.1819835696878938
ET1401,3,2026-09,crop_farming,1.0216575134545565,1.0056573258391397
ET1501,3,2026-09,crop_farming,1.2958948628183866,1.2062684819805896
ET1502,3,2026-09,crop_farming,1.9316479523949779,1.8002690073534366
ET1600,3,2026-09,crop_farming,1.921259936342128,1.8700465097717143
ET0201,4,2026-10,pastoral,2.276029568730573,2.444885777607905
ET0202,4,2026-10,pastoral,2.459206224242889,2.516474082889927
ET0203,4,2026-10,pastoral,2.4442733542247406,2.4956914741395586
ET0204,4,2026-10,pastoral,2.6568176414049818,2.530829103730218
ET0205,4,2026-10,pastoral,2.030642782746291,2.090163699063365
ET0411,4,2026-10,pastoral,1.7572625219935507,1.8369790549966687
ET0412,4,2026-10,pastoral,2.5499471839346355,2.498883461685573
ET0414,4,2026-10,pastoral,1.6066965949078271,1.6389187590133905
ET0415,4,2026-10,pastoral,1.5874862348015748,1.6006021475424927
ET0421,4,2026-10,pastoral,2.0665245093930817,2.1928217861493575
